   [38;2;150;108;75m-[38;2;150;108;75m\ 
Multiple apps found matching input criteria. Please refine the input.
Name                                  Id                                  Version
------------------------------------------------------------------------------------------
Robo3T                                3T.Robo3T                           1.3.1
ndm                                   720kb.ndm                           1.2.0
Aya                                   7room.Aya                           0.10.4
7Zip                                  7zip.7zip                           20.0.0-alpha
AIMP                                  AIMP.AIMP                           4.6.2180
Cube                                  Aardappel.Cube                      2005.08.29
Cube 2: Sauerbraten                   Aardappel.Cube2                     2013.04.04
AbaClient                             Abacus.AbaClient                    2.1.600
CutePDF Writer                        AcroSoftware.CutePDFWriter          4.0.0.4
GraphiQL                              AdamMiskiewicz.GraphiQL             0.7.2
Adobe Acrobat Reader DC               Adobe.AdobeAcrobatReaderDC          2020.009.20063
AdobeDigitalEditions                  Adobe.AdobeDigitalEditions          4.5.11
Brackets                              Adobe.Brackets                      1.14.2
Adobe Flash Player 32 NPAPI (Firefox) Adobe.FlashPlayer32NPAPI            32.0.0.387
Adobe Flash Player 32 PPAPI           Adobe.FlashPlayer32PPAPI            32.0.0.387
AdoptOpenJDK                          AdoptOpenJDK.OpenJDK                14.0.1
File Converter (64 bit)               AdrianAllard.FileConverter          1.2.3
AdvancedLogViewer                     AdvancedLogViewer.AdvancedLogViewer 8.1.0
1Password                             AgileBits.1Password                 7.4.767
Akelpad Editor                        AkelPad.AkelPad                     4.9.8
Alacritty                             Alacritty.Alacritty                 0.4.3
Spek                                  AlexanderKojevnikov.Spek            0.8.2.0
Cerebro                               AlexandrSubbotin.Cerebro            0.3.2
Algodoo                               Algoryx.Algodoo                     2.1.0
aws-cli                               Amazon.AWSCLI                       2.0.19
Amazon Chime                          Amazon.Chime                        4.31.9473
Corretto                              Amazon.Corretto                     11.0.7.10.1
Kindle                                Amazon.Kindle                       1.25.52064
Ferdi                                 AmineMouafik.Ferdi                  5.5.0
Miniconda3                            Anaconda.Miniconda3                 4.8.2
Resource Hacker                       AngusJohnson.ResourceHacker         5.1.7
Anki                                  Anki.Anki                           2.1.26
HeidiSQL                              AnsgarBecker.HeidiSQL               11.0.0.5919
HeidiSQL Nightly                      AnsgarBecker.HeidiSQLNightly        11.0.0.6000
AntiMicro                             AntiMicro.AntiMicro                 2.23
WizFile                               AntibodySoftware.WizFile            2.06
WizTree                               AntibodySoftware.WizTree            3.33
SoundSwitch                           AntoineAflalo.SoundSwitch           5.3.1
AnyDesk                               AnyDeskSoftwareGmbH.AnyDesk         5.5.3
OpenOffice                            Apache.OpenOffice                   4.1.7
Xampp                                 ApacheFriends.Xampp                 7.4.6
iTunes                                Apple.iTunes                        12.10.7.3
Simply Fortran                        ApproximatrixLLC.SimplyFortran      3.12.3272.0
Arduino IDE                           Arduino.Arduino                     1.8.12
Strix Music                           ArloG.StrixMusic                    1.4.8.0
Gnu Arm Embedded Toolchain            Arm.GnuArmEmbeddedToolchain         9-2020-q2-update
Auto Dark Mode                        Armin2208.WindowsAutoNightMode      2.3.1
